alert_id,row_index,timestamp,source_ip,destination_ip,predicted_class,true_class,confidence,simulated_campaign_id,correlation_group_id,is_correlated_campaign,kill_chain_stages_seen,matched_known_pattern,matched_pattern_similarity
ALERT-00217,231410,2026-08-12 09:00:37,10.0.222.132,192.168.212.253,DoS Hulk,DoS Hulk,0.9993868153223412,,,False,,,
ALERT-00093,442429,2026-08-12 09:03:01,10.0.103.63,192.168.38.168,SSH-Patator,SSH-Patator,0.9999221103015018,CAMP-0031,CORR-0001,True,"credential_access, impact",Learned Pattern - credential_access + impact,0.9789164066314697
ALERT-00094,403357,2026-08-12 09:03:38,10.0.103.63,192.168.38.168,DoS Hulk,DoS Hulk,0.9954514131465734,CAMP-0031,CORR-0001,True,"credential_access, impact",Learned Pattern - credential_access + impact,0.9789164066314697
ALERT-00095,38198,2026-08-12 09:05:36,10.0.103.63,192.168.38.168,DDoS,DDoS,0.9996845029921824,CAMP-0031,CORR-0001,True,"credential_access, impact",Learned Pattern - credential_access + impact,0.9789164066314697
ALERT-00224,9261,2026-08-12 09:07:28,10.0.182.41,192.168.80.142,DDoS,DDoS,0.9996827450997704,,,False,,,
ALERT-00246,204900,2026-08-12 09:08:22,10.0.26.135,192.168.234.117,DDoS,DDoS,0.9996845018408484,,,False,,,
ALERT-00164,307843,2026-08-12 09:09:25,10.0.166.183,192.168.126.115,DoS Hulk,DoS Hulk,0.9993868904266462,,,False,,,
ALERT-00132,391274,2026-08-12 09:10:35,10.0.65.214,192.168.21.121,PortScan,PortScan,0.9991777166906194,,,False,,,
ALERT-00118,25907,2026-08-12 09:10:40,10.0.232.198,192.168.150.243,DoS Hulk,DoS Hulk,0.999386831943922,CAMP-0040,,False,,,
ALERT-00291,466006,2026-08-12 09:13:40,10.0.28.173,192.168.60.121,DDoS,DDoS,0.9996825107769964,,,False,,,
ALERT-00141,172617,2026-08-12 09:14:01,10.0.247.80,192.168.28.149,DoS Hulk,DoS Hulk,0.9993868258080713,,,False,,,
ALERT-00256,479560,2026-08-12 09:15:48,10.0.114.43,192.168.178.77,DDoS,DDoS,0.9996844953774722,,,False,,,
