alert_id,row_index,timestamp,source_ip,destination_ip,predicted_class,true_class,confidence,simulated_campaign_id,correlation_group_id,is_correlated_campaign,kill_chain_stages_seen,matched_known_pattern,matched_pattern_similarity,priority_score,priority_bucket,effective_severity_score,own_severity_label,top_contributing_features
ALERT-00028,434223,2026-08-12 09:44:41,10.0.110.144,192.168.3.29,Botnet,BENIGN,0.9998765201253416,CAMP-0010,CORR-0004,False,impact,,,93.42,Critical,1.0,Critical,"[{""feature"": ""Destination Port"", ""shap_value"": 0.10365964485917704}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.07331263187936002}, {""feature"": ""Bwd Packet Length Min"", ""shap_value"": 0.06705563138928307}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.0434811773166277}, {""feature"": ""Fwd IAT Mean"", ""shap_value"": 0.04178984582271155}]"
ALERT-00075,431699,2026-08-12 10:56:47,10.0.214.1,192.168.78.74,Botnet,Botnet,0.9998984645211604,CAMP-0026,CORR-0022,False,impact,,,93.42,Critical,1.0,Critical,"[{""feature"": ""Destination Port"", ""shap_value"": 0.1343448689411939}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.09271927603576194}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.08343504990066077}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.04072629808327574}, {""feature"": ""Fwd IAT Mean"", ""shap_value"": 0.03459689899735714}]"
ALERT-00068,487882,2026-08-12 11:44:41,10.0.105.84,192.168.104.179,DDoS,DDoS,0.9996819372510496,CAMP-0024,CORR-0002,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.0976230670792557}, {""feature"": ""Destination Port"", ""shap_value"": 0.06310417908602298}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06142525238676761}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.05892216120965855}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.049535195815054285}]"
ALERT-00037,16217,2026-08-12 11:11:03,10.0.192.40,192.168.237.239,DDoS,DDoS,0.9996821304157856,CAMP-0013,CORR-0017,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.09961360851704608}, {""feature"": ""Destination Port"", ""shap_value"": 0.06283840955813534}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.061671959026184865}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.059626451627208164}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.04899468214401464}]"
ALERT-00012,1114,2026-08-12 11:47:05,10.0.3.171,192.168.210.142,DDoS,DDoS,0.9996817292798348,CAMP-0005,CORR-0033,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.944947361946106,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.09774127055098145}, {""feature"": ""Destination Port"", ""shap_value"": 0.06279657727332044}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06138707432930166}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.05899851962030071}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.04919886802411569}]"
ALERT-00066,402518,2026-08-12 11:41:28,10.0.105.84,192.168.104.179,DDoS,DDoS,0.9996813746759228,CAMP-0024,CORR-0002,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.1007683610370478}, {""feature"": ""Destination Port"", ""shap_value"": 0.0631347741172769}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06278119998011783}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.061194385909685706}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.04702887300973031}]"
ALERT-00100,210266,2026-08-12 13:01:42,10.0.253.144,192.168.153.82,DDoS,DDoS,0.9996844972761512,CAMP-0034,CORR-0032,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.08125074485200444}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.07863635981405288}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07323866732743377}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.06907561030650647}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.06458292510522926}]"
ALERT-00102,31240,2026-08-12 13:06:47,10.0.253.144,192.168.153.82,DDoS,DDoS,0.9996845031370744,CAMP-0034,CORR-0032,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.08049587523089928}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.07422242427813423}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07388504031025879}, {""feature"": ""Packet Length Variance"", ""shap_value"": 0.07294190846510705}, {""feature"": ""Bwd Packet Length Std"", ""shap_value"": 0.06532705061979}]"
ALERT-00026,363986,2026-08-12 09:41:53,10.0.110.144,192.168.3.29,DDoS,DDoS,0.9996817372417248,CAMP-0010,CORR-0004,False,impact,,,93.41,Critical,1.0,Critical,"[{""feature"": ""min_seg_size_forward"", ""shap_value"": 0.09769305917218488}, {""feature"": ""Destination Port"", ""shap_value"": 0.0629050947211451}, {""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.06162040218340617}, {""feature"": ""Bwd Header Length"", ""shap_value"": 0.05900303500876424}, {""feature"": ""act_data_pkt_fwd"", ""shap_value"": 0.04958073551640071}]"
ALERT-00108,262382,2026-08-12 13:27:29,10.0.71.197,192.168.200.134,DDoS,DDoS,0.9996845025620176,CAMP-0036,CORR-0037,True,"impact, reconnaissance",Learned Pattern - impact + reconnaissance,0.8970677852630615,93.41,Critical,1.0,Critical,"[{""feature"": ""Init_Win_bytes_backward"", ""shap_value"": 0.08610959599375348}, {""feature"": ""Subflow Bwd Bytes"", ""shap_value"": 0.07785033221894638}, {""feature"": ""min_seg_size_forward"", ""shap_value"": 0.06852375585204189}, {""feature"": ""Fwd Packet Length Std"", ""shap_value"": 0.06769755272076651}, {""feature"": ""Avg Bwd Segment Size"", ""shap_value"": 0.06237813156596916}]"
