alert_id,row_index,timestamp,source_ip,destination_ip,predicted_class,true_class,confidence,simulated_campaign_id
ALERT-00217,231410,2026-08-12T09:00:37,10.0.222.132,192.168.212.253,DoS Hulk,DoS Hulk,0.9993868153223412,
ALERT-00093,442429,2026-08-12T09:03:01,10.0.103.63,192.168.38.168,SSH-Patator,SSH-Patator,0.9999221103015018,CAMP-0031
ALERT-00094,403357,2026-08-12T09:03:38,10.0.103.63,192.168.38.168,DoS Hulk,DoS Hulk,0.9954514131465734,CAMP-0031
ALERT-00095,38198,2026-08-12T09:05:36,10.0.103.63,192.168.38.168,DDoS,DDoS,0.9996845029921823,CAMP-0031
ALERT-00224,9261,2026-08-12T09:07:28,10.0.182.41,192.168.80.142,DDoS,DDoS,0.9996827450997705,
ALERT-00246,204900,2026-08-12T09:08:22,10.0.26.135,192.168.234.117,DDoS,DDoS,0.9996845018408484,
ALERT-00164,307843,2026-08-12T09:09:25,10.0.166.183,192.168.126.115,DoS Hulk,DoS Hulk,0.9993868904266462,
ALERT-00132,391274,2026-08-12T09:10:35,10.0.65.214,192.168.21.121,PortScan,PortScan,0.9991777166906194,
ALERT-00118,25907,2026-08-12T09:10:40,10.0.232.198,192.168.150.243,DoS Hulk,DoS Hulk,0.9993868319439219,CAMP-0040
ALERT-00291,466006,2026-08-12T09:13:40,10.0.28.173,192.168.60.121,DDoS,DDoS,0.9996825107769964,
ALERT-00141,172617,2026-08-12T09:14:01,10.0.247.80,192.168.28.149,DoS Hulk,DoS Hulk,0.9993868258080711,
ALERT-00256,479560,2026-08-12T09:15:48,10.0.114.43,192.168.178.77,DDoS,DDoS,0.9996844953774722,
ALERT-00324,131636,2026-08-12T09:17:00,10.0.134.78,192.168.118.165,DoS Hulk,DoS Hulk,0.9993868163972639,
ALERT-00243,69437,2026-08-12T09:20:13,10.0.252.39,192.168.127.247,DDoS,DDoS,0.999684490932074,
ALERT-00041,128425,2026-08-12T09:21:08,10.0.202.180,192.168.28.98,DoS Hulk,DoS Hulk,0.9993868169882751,CAMP-0015
ALERT-00029,221914,2026-08-12T09:22:50,10.0.142.38,192.168.111.33,PortScan,PortScan,0.9989934829825999,CAMP-0011
ALERT-00042,442528,2026-08-12T09:23:18,10.0.202.180,192.168.28.98,DoS GoldenEye,DoS GoldenEye,0.9875814834992972,CAMP-0015
ALERT-00240,144498,2026-08-12T09:23:50,10.0.60.220,192.168.199.106,DoS Hulk,DoS Hulk,0.999386864499175,
ALERT-00056,432825,2026-08-12T09:24:14,10.0.231.148,192.168.49.66,DDoS,DDoS,0.9996844976286015,CAMP-0021
ALERT-00030,309537,2026-08-12T09:24:18,10.0.142.38,192.168.111.33,PortScan,PortScan,0.9990437556089409,CAMP-0011
ALERT-00295,376650,2026-08-12T09:24:45,10.0.167.105,192.168.30.36,DDoS,DDoS,0.9996826651783017,
ALERT-00031,119186,2026-08-12T09:26:01,10.0.142.38,192.168.111.33,PortScan,PortScan,0.9989503248771925,CAMP-0011
ALERT-00057,24634,2026-08-12T09:26:15,10.0.231.148,192.168.49.66,DoS Hulk,DoS Hulk,0.9993868611680207,CAMP-0021
ALERT-00032,93665,2026-08-12T09:26:21,10.0.142.38,192.168.111.33,DDoS,DDoS,0.9996812393393786,CAMP-0011
ALERT-00058,267,2026-08-12T09:26:25,10.0.231.148,192.168.49.66,DoS Hulk,DoS Hulk,0.9993868159508894,CAMP-0021
ALERT-00271,446625,2026-08-12T09:26:47,10.0.71.3,192.168.145.222,PortScan,PortScan,0.9991917849663728,
ALERT-00220,140584,2026-08-12T09:28:11,10.0.194.128,192.168.161.114,DDoS,DDoS,0.9996844219648673,
ALERT-00182,15236,2026-08-12T09:29:16,10.0.19.148,192.168.162.176,DDoS,DDoS,0.9996806264663449,
ALERT-00305,333318,2026-08-12T09:33:04,10.0.231.251,192.168.166.92,DoS Hulk,DoS Hulk,0.9993868304498741,
ALERT-00293,155896,2026-08-12T09:34:31,10.0.235.157,192.168.57.166,DDoS,DDoS,0.9996845008145661,
ALERT-00252,99119,2026-08-12T09:37:22,10.0.224.139,192.168.10.159,DoS Hulk,DoS Hulk,0.9993868405848565,
ALERT-00231,510612,2026-08-12T09:38:07,10.0.131.192,192.168.226.35,PortScan,PortScan,0.9989528753925822,
ALERT-00191,289693,2026-08-12T09:40:59,10.0.41.62,192.168.45.142,DoS Hulk,DoS Hulk,0.9993868141203331,
ALERT-00025,154870,2026-08-12T09:41:05,10.0.110.144,192.168.3.29,DDoS,DDoS,0.9996845033438548,CAMP-0010
ALERT-00285,359486,2026-08-12T09:41:07,10.0.206.30,192.168.120.247,DDoS,DDoS,0.9996845033085048,
ALERT-00143,107196,2026-08-12T09:41:30,10.0.102.242,192.168.184.51,DoS Hulk,DoS Hulk,0.9993868410883326,
ALERT-00026,363986,2026-08-12T09:41:53,10.0.110.144,192.168.3.29,DDoS,DDoS,0.9996817372417248,CAMP-0010
ALERT-00190,99092,2026-08-12T09:44:20,10.0.161.55,192.168.68.170,PortScan,PortScan,0.998983970899298,
ALERT-00027,441903,2026-08-12T09:44:22,10.0.110.144,192.168.3.29,Web Attack - XSS,BENIGN,0.6282509246394964,CAMP-0010
ALERT-00028,434223,2026-08-12T09:44:41,10.0.110.144,192.168.3.29,Botnet,BENIGN,0.9998765201253417,CAMP-0010
ALERT-00155,259829,2026-08-12T09:47:19,10.0.69.83,192.168.219.63,Botnet,BENIGN,0.8882916567053806,
ALERT-00307,338862,2026-08-12T09:50:03,10.0.243.218,192.168.211.117,DoS Hulk,DoS Hulk,0.9993861078424559,
ALERT-00338,270838,2026-08-12T09:50:54,10.0.18.24,192.168.213.22,DoS Hulk,DoS Hulk,0.9993868141249083,
ALERT-00276,237041,2026-08-12T09:53:03,10.0.175.215,192.168.36.161,DDoS,DDoS,0.9996845034583274,
ALERT-00254,393979,2026-08-12T09:53:45,10.0.59.192,192.168.24.112,DoS Hulk,DoS Hulk,0.9994057223837618,
ALERT-00255,31,2026-08-12T09:54:53,10.0.195.163,192.168.181.224,DoS Hulk,DoS Hulk,0.999386839372709,
ALERT-00321,40005,2026-08-12T09:59:33,10.0.200.93,192.168.132.152,DoS Hulk,DoS Hulk,0.9993868138644039,
ALERT-00225,14681,2026-08-12T10:01:57,10.0.142.105,192.168.24.58,PortScan,PortScan,0.99899252206089,
ALERT-00137,481651,2026-08-12T10:02:28,10.0.62.33,192.168.122.172,DDoS,DDoS,0.9996845031158572,
ALERT-00331,512578,2026-08-12T10:02:29,10.0.130.155,192.168.111.26,DoS Hulk,DoS Hulk,0.9993868175182954,
ALERT-00296,212125,2026-08-12T10:03:25,10.0.243.10,192.168.78.127,DoS Hulk,DoS Hulk,0.9993868205765192,
ALERT-00222,61911,2026-08-12T10:06:18,10.0.113.226,192.168.179.125,PortScan,PortScan,0.9991785126240438,
ALERT-00306,141629,2026-08-12T10:06:42,10.0.102.71,192.168.49.248,PortScan,PortScan,0.9991885870636995,
ALERT-00063,106914,2026-08-12T10:08:03,10.0.160.81,192.168.170.218,PortScan,PortScan,0.9991814052472968,CAMP-0023
ALERT-00064,467323,2026-08-12T10:09:29,10.0.160.81,192.168.170.218,DDoS,DDoS,0.9996817347377681,CAMP-0023
ALERT-00065,137251,2026-08-12T10:11:48,10.0.160.81,192.168.170.218,DoS GoldenEye,DoS GoldenEye,0.9875783316411204,CAMP-0023
ALERT-00316,26206,2026-08-12T10:11:58,10.0.29.170,192.168.222.7,PortScan,PortScan,0.9991803901659996,
ALERT-00098,399915,2026-08-12T10:12:49,10.0.235.218,192.168.32.117,PortScan,PortScan,0.9991814423486287,CAMP-0033
ALERT-00297,258609,2026-08-12T10:14:05,10.0.25.61,192.168.228.138,DoS SlowHTTPTest,DoS SlowHTTPTest,0.9996127351907608,
ALERT-00099,243023,2026-08-12T10:14:57,10.0.235.218,192.168.32.117,DoS Hulk,DoS Hulk,0.9993868163661637,CAMP-0033
ALERT-00198,119521,2026-08-12T10:17:40,10.0.39.233,192.168.69.212,DoS Hulk,DoS Hulk,0.9993868142154779,
ALERT-00314,491678,2026-08-12T10:19:01,10.0.1.71,192.168.220.252,PortScan,PortScan,0.9991838280972313,
ALERT-00085,303288,2026-08-12T10:20:28,10.0.80.58,192.168.207.51,DoS GoldenEye,DoS GoldenEye,0.9874725175905208,CAMP-0029
ALERT-00086,359827,2026-08-12T10:20:44,10.0.80.58,192.168.207.51,PortScan,PortScan,0.9989575136707585,CAMP-0029
ALERT-00087,436217,2026-08-12T10:21:05,10.0.80.58,192.168.207.51,DoS GoldenEye,DoS GoldenEye,0.9875749968018926,CAMP-0029
ALERT-00088,218160,2026-08-12T10:22:17,10.0.80.58,192.168.207.51,DDoS,DDoS,0.9996816485367869,CAMP-0029
ALERT-00136,497746,2026-08-12T10:23:13,10.0.52.215,192.168.6.160,DoS Hulk,DoS Hulk,0.999386836016086,
ALERT-00113,411102,2026-08-12T10:23:27,10.0.36.39,192.168.60.99,DoS Hulk,DoS Hulk,0.9993865517598464,CAMP-0038
ALERT-00151,159984,2026-08-12T10:23:33,10.0.229.213,192.168.118.182,DoS Hulk,DoS Hulk,0.9993873243466579,
ALERT-00226,394280,2026-08-12T10:24:05,10.0.119.243,192.168.31.166,DoS Hulk,DoS Hulk,0.9993868457547032,
ALERT-00299,509818,2026-08-12T10:24:23,10.0.108.151,192.168.191.187,PortScan,PortScan,0.9991798390217246,
ALERT-00114,348394,2026-08-12T10:24:31,10.0.36.39,192.168.60.99,PortScan,PortScan,0.9990621352754603,CAMP-0038
ALERT-00014,128009,2026-08-12T10:24:53,10.0.228.28,192.168.191.142,PortScan,PortScan,0.9991785578656793,CAMP-0006
ALERT-00015,117931,2026-08-12T10:26:12,10.0.228.28,192.168.191.142,PortScan,PortScan,0.999184297855861,CAMP-0006
ALERT-00264,399169,2026-08-12T10:26:16,10.0.231.74,192.168.174.140,Web Attack - XSS,BENIGN,0.545173279872488,
ALERT-00212,167810,2026-08-12T10:27:49,10.0.86.83,192.168.172.27,DoS Hulk,DoS Hulk,0.9994663939981044,
ALERT-00140,301415,2026-08-12T10:29:26,10.0.247.192,192.168.184.30,DDoS,DDoS,0.9996844972776614,
ALERT-00282,228683,2026-08-12T10:29:51,10.0.136.129,192.168.234.70,PortScan,PortScan,0.9991781791131952,
ALERT-00124,153299,2026-08-12T10:30:08,10.0.172.174,192.168.205.104,DoS GoldenEye,DoS GoldenEye,0.9875844149868094,
ALERT-00070,352015,2026-08-12T10:35:02,10.0.241.98,192.168.174.192,PortScan,PortScan,0.999183681820541,CAMP-0025
ALERT-00315,87477,2026-08-12T10:35:17,10.0.253.34,192.168.139.65,Web Attack - Brute Force,Web Attack - Brute Force,0.6155942515900203,
ALERT-00208,41734,2026-08-12T10:35:40,10.0.148.11,192.168.196.194,DoS Hulk,DoS Hulk,0.9993868303967756,
ALERT-00071,116398,2026-08-12T10:37:49,10.0.241.98,192.168.174.192,DDoS,DDoS,0.9996785577675926,CAMP-0025
ALERT-00259,211236,2026-08-12T10:38:20,10.0.136.106,192.168.145.175,Web Attack - XSS,BENIGN,0.6178791957431267,
ALERT-00128,62143,2026-08-12T10:39:14,10.0.110.35,192.168.222.119,DoS Slowloris,DoS Slowloris,0.997361764883592,
ALERT-00158,270305,2026-08-12T10:39:18,10.0.8.127,192.168.218.84,DoS Hulk,DoS Hulk,0.9993868142139759,
ALERT-00072,190020,2026-08-12T10:40:24,10.0.241.98,192.168.174.192,PortScan,PortScan,0.9990008191937257,CAMP-0025
ALERT-00179,485982,2026-08-12T10:40:41,10.0.121.123,192.168.113.88,DDoS,DDoS,0.9996844976289292,
ALERT-00170,199047,2026-08-12T10:41:06,10.0.81.31,192.168.191.138,DoS Hulk,DoS Hulk,0.9994307457002647,
ALERT-00073,452594,2026-08-12T10:41:51,10.0.241.98,192.168.174.192,DoS Hulk,DoS Hulk,0.9994803482964217,CAMP-0025
ALERT-00238,51211,2026-08-12T10:43:01,10.0.97.117,192.168.239.83,DoS Hulk,DoS Hulk,0.9993868147341649,
ALERT-00161,366553,2026-08-12T10:44:20,10.0.143.3,192.168.133.243,DDoS,DDoS,0.9996720936336903,
ALERT-00169,410632,2026-08-12T10:45:10,10.0.79.65,192.168.60.31,DoS Hulk,DoS Hulk,0.9993868139258383,
ALERT-00173,128581,2026-08-12T10:46:00,10.0.153.73,192.168.252.26,PortScan,PortScan,0.9991830687007229,
ALERT-00059,273990,2026-08-12T10:47:36,10.0.176.185,192.168.241.190,DDoS,DDoS,0.9996845025138145,CAMP-0022
ALERT-00196,468210,2026-08-12T10:48:02,10.0.202.203,192.168.161.151,DoS Hulk,DoS Hulk,0.9993868495617197,
ALERT-00060,122363,2026-08-12T10:49:19,10.0.176.185,192.168.241.190,PortScan,PortScan,0.9991801399209012,CAMP-0022
ALERT-00280,257268,2026-08-12T10:49:39,10.0.84.192,192.168.107.45,DoS Hulk,DoS Hulk,0.9993868138710479,
ALERT-00061,252520,2026-08-12T10:51:19,10.0.176.185,192.168.241.190,DoS Hulk,DoS Hulk,0.9993868145405989,CAMP-0022
ALERT-00062,50380,2026-08-12T10:51:46,10.0.176.185,192.168.241.190,DoS Hulk,DoS Hulk,0.9993868258784121,CAMP-0022
ALERT-00189,173458,2026-08-12T10:53:28,10.0.246.190,192.168.26.243,DDoS,DDoS,0.9996845030802418,
ALERT-00074,94042,2026-08-12T10:54:47,10.0.214.1,192.168.78.74,DoS Hulk,DoS Hulk,0.999386843209894,CAMP-0026
ALERT-00129,2940,2026-08-12T10:55:35,10.0.13.67,192.168.98.84,DDoS,DDoS,0.999681907543046,
ALERT-00078,353444,2026-08-12T10:56:42,10.0.120.114,192.168.114.173,DDoS,DDoS,0.9996727290637037,CAMP-0027
ALERT-00075,431699,2026-08-12T10:56:47,10.0.214.1,192.168.78.74,Botnet,Botnet,0.9998984645211605,CAMP-0026
