,BENIGN,Botnet,DDoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
BENIGN,212402,593,1,0,202,7,5,0,0,0,93,0,26,329,1032
Botnet,5,190,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,5,0,12792,0,0,0,0,0,0,0,0,0,0,1,3
DoS GoldenEye,0,0,0,1017,1,0,0,0,0,0,0,0,0,10,0
DoS Hulk,0,0,0,11,17271,0,0,0,0,0,0,0,0,1,2
DoS SlowHTTPTest,1,0,1,0,0,515,4,0,0,0,0,0,0,1,1
DoS Slowloris,1,0,0,0,0,5,531,0,0,0,0,0,0,1,1
FTP-Patator,2,0,0,0,0,0,0,588,0,0,0,0,2,1,0
Heartbleed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Infiltration,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
PortScan,1,0,0,0,5,0,0,0,0,0,9062,0,0,0,1
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0
Web Attack - Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,67,0,80
Web Attack - SQL Injection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Web Attack - XSS,0,0,0,0,0,0,0,0,0,0,0,0,18,0,47
