,BENIGN,Botnet,DDoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
BENIGN,397611,6937,5039,1307,7084,346,420,938,3,100,6606,839,2146,4,0
Botnet,2,388,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,11,0,25584,6,1,0,0,0,0,0,1,0,0,0,0
DoS GoldenEye,0,0,0,2055,1,0,1,0,0,0,0,0,0,0,0
DoS Hulk,6,0,1,38,34522,0,0,0,0,0,1,0,1,0,0
DoS SlowHTTPTest,1,0,1,0,0,1028,14,0,0,0,0,0,2,0,0
DoS Slowloris,0,0,1,3,2,16,1053,0,0,0,0,0,2,0,0
FTP-Patator,1,0,0,0,1,0,9,1171,0,0,0,3,1,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0
PortScan,4,0,9,0,7,0,10,0,0,0,18105,1,3,0,0
SSH-Patator,7,0,0,4,2,0,2,1,0,0,3,619,6,0,0
Web Attack - Brute Force,0,0,0,0,1,0,0,0,0,0,0,13,280,0,0
Web Attack - SQL Injection,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Web Attack - XSS,0,0,0,1,4,0,0,0,0,0,0,1,123,0,1
