,BENIGN,Botnet,DDoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
BENIGN,401201,6981,2906,616,7191,248,288,756,0,83,6579,638,1891,2,0
Botnet,2,388,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,18,0,25578,5,2,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2055,1,1,0,0,0,0,0,0,0,0,0
DoS Hulk,4,0,0,35,34529,0,0,0,0,0,0,0,1,0,0
DoS SlowHTTPTest,4,0,1,0,0,1029,10,0,0,0,0,0,2,0,0
DoS Slowloris,1,0,0,3,2,14,1055,0,0,0,0,0,2,0,0
FTP-Patator,1,0,0,0,1,0,9,1171,0,0,0,0,4,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0
PortScan,1,0,0,0,7,0,13,0,0,0,18114,0,4,0,0
SSH-Patator,9,0,0,4,2,0,2,1,0,0,1,590,35,0,0
Web Attack - Brute Force,1,0,0,0,0,0,0,0,0,0,0,1,292,0,0
Web Attack - SQL Injection,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Web Attack - XSS,0,0,0,1,4,0,0,0,0,0,0,0,124,0,1
