,BENIGN,Botnet,DDoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
BENIGN,427525,1328,0,2,268,5,2,0,0,0,201,0,2,1,46
Botnet,5,385,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,10,0,25592,0,1,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,2,0,0,2052,2,1,0,0,0,0,0,0,0,0,0
DoS Hulk,5,0,0,14,34549,0,0,0,0,0,1,0,0,0,0
DoS SlowHTTPTest,4,0,0,0,0,1035,6,0,0,0,0,0,1,0,0
DoS Slowloris,4,0,0,1,0,2,1069,0,0,0,0,0,1,0,0
FTP-Patator,2,0,0,0,0,0,0,1184,0,0,0,0,0,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0
PortScan,3,0,0,0,5,0,0,0,0,0,18129,0,1,0,1
SSH-Patator,3,0,0,0,0,0,0,0,0,0,0,641,0,0,0
Web Attack - Brute Force,2,0,0,0,0,0,0,0,0,0,1,0,172,0,119
Web Attack - SQL Injection,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Web Attack - XSS,2,0,0,0,0,0,0,0,0,0,0,0,47,0,81
