feature,importance
Destination Port,0.08551558656174088
Init_Win_bytes_backward,0.06616525748014243
Bwd Header Length,0.04549280971938313
Subflow Bwd Bytes,0.043985069027066705
Average Packet Size,0.03729084161632498
Avg Bwd Segment Size,0.03565915004713633
Fwd Header Length,0.035011948447602206
Flow IAT Std,0.03381768607731756
Flow IAT Mean,0.03249782553871485
Init_Win_bytes_forward,0.031810201264782755
Subflow Fwd Bytes,0.031212589073076443
act_data_pkt_fwd,0.03092319110894984
Fwd IAT Total,0.0306935926455741
Packet Length Variance,0.02994304026329563
min_seg_size_forward,0.029430886112062377
Fwd IAT Mean,0.027984153887824
Fwd IAT Std,0.02744122166675289
Avg Fwd Segment Size,0.027059142189205514
Packet Length Std,0.025744015523615035
Fwd Packet Length Std,0.023090805004055904
Fwd IAT Min,0.023042523399916304
Bwd Packet Length Std,0.0220553299042062
Bwd IAT Total,0.019175175086116734
Flow IAT Min,0.017871043385187486
Bwd Packets/s,0.017375473396342784
Bwd Packet Length Min,0.016699406833277575
Flow Bytes/s,0.01542836475072866
Bwd IAT Mean,0.011896668845095805
Active Min,0.011634559993314147
PSH Flag Count,0.011540997137057219
Bwd IAT Max,0.011162335490526625
Idle Min,0.011058125083749006
Bwd IAT Min,0.010810129442942467
Min Packet Length,0.009932249907433823
Bwd IAT Std,0.009712543096544192
Fwd Packets/s,0.008657725242762863
Active Mean,0.007881314906977062
ACK Flag Count,0.006731377216088392
Active Max,0.006644246970372676
Fwd Packet Length Min,0.006211036817377105
Down/Up Ratio,0.003614991975100024
URG Flag Count,0.0034990284661889576
SYN Flag Count,0.0027180182742297014
Idle Std,0.002094348061659189
FIN Flag Count,0.0009376453051249687
Active Std,0.000846224954091147
CWE Flag Count,9.782177202226653e-08
ECE Flag Count,4.981193316935357e-09
