,BENIGN,Botnet,DDoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
BENIGN,427312,1546,1,3,252,5,0,0,0,0,200,0,3,1,57
Botnet,5,385,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,12,0,25591,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,1,0,0,2053,2,1,0,0,0,0,0,0,0,0,0
DoS Hulk,5,0,0,16,34547,0,0,0,0,0,1,0,0,0,0
DoS SlowHTTPTest,2,0,0,0,0,1035,7,0,0,0,0,0,1,0,1
DoS Slowloris,4,0,0,1,0,2,1069,0,0,0,0,0,1,0,0
FTP-Patator,2,0,0,0,0,0,0,1184,0,0,0,0,0,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0
PortScan,3,0,0,0,5,0,0,0,0,0,18129,0,0,0,2
SSH-Patator,3,0,0,0,0,0,0,0,0,0,0,641,0,0,0
Web Attack - Brute Force,2,0,0,0,0,0,0,0,0,0,0,0,171,0,121
Web Attack - SQL Injection,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Web Attack - XSS,1,0,0,0,0,0,0,0,0,0,0,0,42,0,87
