feature,importance
Destination Port,0.08188886957974725
Init_Win_bytes_backward,0.06795281231164454
Subflow Bwd Bytes,0.0419339346342374
Bwd Header Length,0.04095813308847493
Avg Bwd Segment Size,0.036971860290657646
Fwd Header Length,0.03571298694417804
Flow IAT Mean,0.034629941533872076
Subflow Fwd Bytes,0.03406926612238446
Average Packet Size,0.03373073846844198
Fwd IAT Mean,0.03281967682442236
Packet Length Std,0.03126277043069794
min_seg_size_forward,0.030933398629747158
act_data_pkt_fwd,0.030880878564218485
Flow IAT Std,0.030819384154866673
Init_Win_bytes_forward,0.0299272651876924
Avg Fwd Segment Size,0.029332567609134528
Fwd IAT Total,0.028555166268589196
Fwd IAT Std,0.02600220482061222
Packet Length Variance,0.02571290475976654
Fwd IAT Min,0.02290460697184382
Fwd Packet Length Std,0.022157573400498967
Bwd Packet Length Std,0.021813091273875616
Bwd IAT Total,0.02166473891034583
Bwd Packet Length Min,0.018959777202882014
Bwd Packets/s,0.016945485813359137
Flow IAT Min,0.013774610003910387
Bwd IAT Mean,0.013159155585039157
Flow Bytes/s,0.013066035121500072
Active Min,0.012299107725561052
Idle Min,0.011791670524211192
Bwd IAT Max,0.011160593071524838
Min Packet Length,0.010986288031882643
PSH Flag Count,0.01076676786918731
Bwd IAT Min,0.009515228548837901
Bwd IAT Std,0.009100547328901617
Active Mean,0.008432956824424118
Fwd Packets/s,0.008037934999032626
ACK Flag Count,0.007786411869234947
Fwd Packet Length Min,0.007461006044896316
Down/Up Ratio,0.0066046250180631216
Active Max,0.006383955816088284
URG Flag Count,0.0031226997606805273
SYN Flag Count,0.0030001566937971147
Idle Std,0.002874702649554928
FIN Flag Count,0.0014196866817705958
Active Std,0.0007157178463954257
CWE Flag Count,1.0171018216800723e-07
ECE Flag Count,6.479132478270289e-09
